Model,Seed,No_of_Hidden_Layers,No_of_Hidden_Units,Batch_Size,Num_Epochs,Learning_Rate,Training_Loss,Training_Accuracy,Testing_Loss,Testing_Accuracy,True_positive,True_negative,False_positive,False_negative,Precision_PositivePredictedValue,Recall_TruePositiveRate,F1_score_positive_class,NegativePredictedValue,Specificity_TrueNegativeRate,F1_score_negative_class,ROC_AUC_score,Cohen_kappa_score,Balanced_accuracy,Matthews_correlation_coefficient
135,7940,1,30,256,20,0.002232635,0.003368551,49,0.005892622,59.2,24,45,17,29,0.496298571,0.433243066,0.43509649,0.617133892,0.72557003,0.632106478,0.579406548,0.159055365,0.579406548,0.176790489
62,5174,2,185,24,135,0.005899698,0.028842961,58.4,0.029499452,59.6,19,50,12,34,0.499778271,0.355520417,0.414196791,0.595918684,0.800879304,0.680488708,0.578199861,0.158977591,0.578199861,0.153210716
61,6598,2,185,256,165,0.00441919,0.002883121,58.4,0.005729875,59,20,49,13,33,0.491959475,0.368451043,0.415743591,0.59801709,0.790743048,0.674440076,0.579597046,0.158965511,0.579597046,0.16671732
84,9690,2,70,256,40,0.001082354,0.003177467,56.4,0.005804029,59.2,20,49,12,33,0.494018806,0.360464667,0.415986313,0.594929079,0.796282835,0.677313979,0.578373751,0.15857321,0.578373751,0.165061351
122,202,2,195,24,170,0.002917268,0.028440179,58,0.029339551,59.6,19,50,12,34,0.612745849,0.35367316,0.42113926,0.592688745,0.800590816,0.676834241,0.577131988,0.158140988,0.577131988,0.175361429
147,1080,4,10,256,140,0.001557868,0.002926581,55,0.005808387,59,26,43,19,27,0.486342933,0.470155588,0.459628129,0.601824323,0.686712762,0.606568208,0.578434175,0.157045874,0.578434175,0.164455496
63,2559,2,125,40,165,0.000504667,0.020502355,53.4,0.018366551,58.4,23,46,16,30,0.570157909,0.417191796,0.473750239,0.598412614,0.740006038,0.658639877,0.578598917,0.15698081,0.578598917,0.162708085
34,7945,1,105,256,200,0.000156521,0.002895314,59.2,0.005828044,59,20,48,13,33,0.492446634,0.369822419,0.415715378,0.597337864,0.787142689,0.672331768,0.578482554,0.156901923,0.578482554,0.165367525
90,7018,2,15,16,190,0.004633473,0.044383643,57,0.044474569,58.6,23,45,17,30,0.567012259,0.430359856,0.482494707,0.599945503,0.724336194,0.653735063,0.577348025,0.156642123,0.577348025,0.160501039
40,3122,1,90,128,60,0.005117378,0.005841389,56.8,0.006723584,58.4,22,47,15,31,0.577335537,0.405319796,0.474361984,0.593837932,0.747933988,0.661599511,0.576626892,0.155508736,0.576626892,0.161926788
123,7517,2,55,256,140,0.00069914,0.002941854,58.4,0.005790175,58.8,20,49,13,33,0.488656969,0.3640568,0.41238221,0.59581812,0.789976115,0.673155298,0.577016458,0.153877314,0.577016458,0.161387013
105,4378,3,165,40,175,0.001820475,0.018405156,57.6,0.018143885,59.6,21,48,14,32,0.478426275,0.389433554,0.416487179,0.60519692,0.761553957,0.664658461,0.575493756,0.152465186,0.575493756,0.15870174
79,5228,2,55,40,160,0.001908002,0.019036114,54.6,0.018858315,57.8,25,43,19,28,0.565561342,0.469829203,0.501371809,0.599739496,0.681044147,0.631445591,0.575436675,0.151872696,0.575436675,0.157645803
24,3155,1,105,64,180,0.001831173,0.015164637,55.6,0.012617561,56.2,34,31,31,19,0.542868425,0.657536066,0.57750379,0.690348481,0.494772693,0.501743118,0.57615438,0.151658401,0.57615438,0.170035377
100,7683,2,25,256,135,0.000618023,0.002920953,56.8,0.005809945,59,21,48,14,32,0.488146552,0.379727098,0.418578292,0.595665768,0.771447464,0.664012697,0.575587281,0.151414112,0.575587281,0.159457355
101,9735,1,200,128,140,0.000101083,0.005772073,59.8,0.006737239,58.6,22,46,15,31,0.476898994,0.395459396,0.429374662,0.597344141,0.75477825,0.6603016,0.575118823,0.150204997,0.575118823,0.154563813
35,9130,2,25,128,150,0.002672686,0.005745015,58,0.006637144,58.6,23,46,16,30,0.470142004,0.414290761,0.439339032,0.598815434,0.735611334,0.653579146,0.574951048,0.150090273,0.574951048,0.151863637
28,5061,1,65,48,160,0.000849209,0.015114926,53,0.017800335,58.8,25,44,18,28,0.658023873,0.451409964,0.459955276,0.603798634,0.698028566,0.638736482,0.574719265,0.149806388,0.574719265,0.168032828
42,6784,1,195,64,75,0.001638904,0.012524066,54.4,0.012599671,59.2,21,48,14,32,0.684669527,0.381914035,0.424817368,0.596060045,0.762493374,0.662486766,0.572203705,0.148791944,0.572203705,0.179552829
78,232,4,130,48,180,0.002360956,0.014819533,58.2,0.017099414,58.8,19,49,13,34,0.493058756,0.352863637,0.404146147,0.592167021,0.795123485,0.671970947,0.573993561,0.148430856,0.573993561,0.158461311
16,1195,3,190,32,195,0.002409777,0.021050055,60,0.023707764,58.8,20,49,13,33,0.577502967,0.36364483,0.43060445,0.590129424,0.782242022,0.669487544,0.572943426,0.14835108,0.572943426,0.156977311
